genreA,genreB,movie
adventure,buddy,Dragonheart (1996)
adventure,buddy,Paul (2011)
adventure,buddy,"Rock, The (1996)"
adventure,buddy,Bulletproof Monk (2003)
adventure,buddy,Ghostbusters (a.k.a. Ghost Busters) (1984)
adventure,buddy,Jay and Silent Bob Strike Back (2001)
adventure,buddy,Who Framed Roger Rabbit? (1988)
adventure,buddy,Year One (2009)
adventure,buddy,The Fox and the Hound 2 (2006)
adventure,buddy,"Rundown, The (2003)"
adventure,buddy,Road to Rio (1947)
adventure,buddy,Mr. Peabody & Sherman (2014)
adventure,buddy,Toy Story (1995)
adventure,buddy,You Can't Win 'Em All (1970)
adventure,buddy,Fear and Loathing in Las Vegas (1998)
adventure,buddy,Sahara (2005)
adventure,buddy,"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971)"
adventure,buddy,Toy Story 2 (1999)
adventure,buddy,"O Brother, Where Art Thou? (2000)"
adventure,buddy,Beavis and Butt-Head Do America (1996)
adventure,buddy,Land Ho! (2014)
adventure,buddy,Oliver & Company (1988)
adventure,buddy,"Land Before Time, The (1988)"
adventure,buddy,Brother Bear (2003)
adventure,buddy,Crime Busters (1977)
adventure,buddy,Cats & Dogs (2001)
adventure,buddy,"Adventures of Rocky and Bullwinkle, The (2000)"
adventure,buddy,Vera Cruz (1954)
adventure,buddy,Paulie (1998)
adventure,buddy,Lilo & Stitch (2002)
adventure,buddy,Fire Down Below (1957)
adventure,buddy,"Race for Your Life, Charlie Brown (1977)"
adventure,buddy,"Goofy Movie, A (1995)"
adventure,buddy,"Lion King 1½, The (2004)"
adventure,buddy,Nothing to Lose (1997)
adventure,buddy,Toy Story 3 (2010)
adventure,buddy,Harold and Kumar Go to White Castle (2004)
adventure,buddy,Zindagi Na Milegi Dobara (2011)
adventure,buddy,Weekend at Bernie's II (1993)
adventure,buddy,"Defiant Ones, The (1958)"
adventure,buddy,"Emperor's New Groove, The (2000)"
adventure,buddy,Cars 2 (2011)
adventure,buddy,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
adventure,buddy,Fled (1996)
adventure,buddy,Boom Town (1940)
adventure,buddy,Madagascar (2005)
adventure,buddy,"SpongeBob SquarePants Movie, The (2004)"
adventure,buddy,"Lone Ranger, The (2013)"
adventure,buddy,Wild Hogs (2007)
adventure,buddy,Space Cowboys (2000)
adventure,buddy,Live Free or Die Hard (2007)
adventure,buddy,Bill & Ted's Bogus Journey (1991)
adventure,buddy,DeadHeads (2011)
adventure,buddy,Happy Feet (2006)
