genreA,genreB,genreC,movie
adventure,buddy,fantasy,Dragonheart (1996)
adventure,buddy,fantasy,"Adventures of Rocky and Bullwinkle, The (2000)"
adventure,buddy,fantasy,Bulletproof Monk (2003)
adventure,buddy,fantasy,Ghostbusters (a.k.a. Ghost Busters) (1984)
adventure,buddy,fantasy,Who Framed Roger Rabbit? (1988)
adventure,buddy,fantasy,Year One (2009)
adventure,buddy,fantasy,Paulie (1998)
adventure,buddy,fantasy,Your Highness (2011)
adventure,buddy,fantasy,Mr. Peabody & Sherman (2014)
adventure,buddy,fantasy,Super Mario Bros. (1993)
adventure,buddy,fantasy,Bill & Ted's Bogus Journey (1991)
adventure,buddy,fantasy,Toy Story (1995)
adventure,buddy,fantasy,All Dogs Go to Heaven 2 (1996)
adventure,buddy,fantasy,"Goofy Movie, A (1995)"
adventure,buddy,fantasy,Toy Story 3 (2010)
adventure,buddy,fantasy,Toy Story 2 (1999)
adventure,buddy,fantasy,"Monsters, Inc. (2001)"
adventure,buddy,fantasy,Robin Hood (1973)
adventure,buddy,fantasy,Shrek (2001)
adventure,buddy,fantasy,"Rescuers, The (1977)"
adventure,buddy,fantasy,"Land Before Time, The (1988)"
adventure,buddy,fantasy,"Emperor's New Groove, The (2000)"
adventure,buddy,fantasy,Brother Bear (2003)
adventure,animation,buddy,"Adventures of Rocky and Bullwinkle, The (2000)"
adventure,animation,buddy,Madagascar (2005)
adventure,animation,buddy,Free Birds (2013)
adventure,animation,buddy,"SpongeBob SquarePants Movie, The (2004)"
adventure,animation,buddy,Who Framed Roger Rabbit? (1988)
adventure,animation,buddy,The Fox and the Hound 2 (2006)
adventure,animation,buddy,Lilo & Stitch (2002)
adventure,animation,buddy,"Race for Your Life, Charlie Brown (1977)"
adventure,animation,buddy,Mr. Peabody & Sherman (2014)
adventure,animation,buddy,Toy Story (1995)
adventure,animation,buddy,All Dogs Go to Heaven 2 (1996)
adventure,animation,buddy,"Goofy Movie, A (1995)"
adventure,animation,buddy,"Lion King 1½, The (2004)"
adventure,animation,buddy,Toy Story 3 (2010)
adventure,animation,buddy,Madagascar: Escape 2 Africa (2008)
adventure,animation,buddy,Happy Feet (2006)
adventure,animation,buddy,Toy Story 2 (1999)
adventure,animation,buddy,"Monsters, Inc. (2001)"
adventure,animation,buddy,Robin Hood (1973)
adventure,animation,buddy,Shrek (2001)
adventure,animation,buddy,Open Season (2006)
adventure,animation,buddy,Beavis and Butt-Head Do America (1996)
