genre,movie
buddy,Toy Story (1995)
buddy,Grumpier Old Men (1995)
buddy,Bio-Dome (1996)
buddy,Friday (1995)
buddy,Big Bully (1996)
buddy,Black Sheep (1996)
buddy,Bottle Rocket (1996)
buddy,Bad Boys (1995)
buddy,Die Hard: With a Vengeance (1995)
buddy,Mallrats (1995)
buddy,"Cure, The (1995)"
buddy,Clerks (1994)
buddy,Dumb & Dumber (Dumb and Dumber) (1994)
buddy,"Goofy Movie, A (1995)"
buddy,Gordy (1995)
buddy,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
buddy,"Shawshank Redemption, The (1994)"
buddy,Tommy Boy (1995)
buddy,"Adventures of Priscilla, Queen of the Desert, The (1994)"
buddy,"Flintstones, The (1994)"
buddy,Airheads (1994)
buddy,Beverly Hills Cop III (1994)
buddy,"Cowboy Way, The (1994)"
buddy,With Honors (1994)
buddy,House Party 3 (1994)
buddy,Super Mario Bros. (1993)
buddy,Pinocchio (1940)
buddy,Ed (1996)
buddy,All Dogs Go to Heaven 2 (1996)
buddy,Dragonheart (1996)
buddy,Oliver & Company (1988)
buddy,"Rock, The (1996)"
buddy,Trainspotting (1996)
buddy,"Hunchback of Notre Dame, The (1996)"
buddy,Kingpin (1996)
buddy,Fled (1996)
buddy,Gone Fishin' (1997)
buddy,Bulletproof (1996)
buddy,"Sword in the Stone, The (1963)"
buddy,Dumbo (1941)
buddy,"Fox and the Hound, The (1981)"
buddy,Swingers (1996)
buddy,Sleepers (1996)
buddy,Weekend at Bernie's (1989)
buddy,Withnail & I (1987)
buddy,"Killer, The (Die xue shuang xiong) (1989)"
buddy,"Blues Brothers, The (1980)"
buddy,"Sting, The (1973)"
buddy,Harold and Maude (1971)
buddy,Rosencrantz and Guildenstern Are Dead (1990)
buddy,Down by Law (1986)
buddy,Butch Cassidy and the Sundance Kid (1969)
buddy,Mad Dog Time (1996)
buddy,Young Guns (1988)
buddy,Young Guns II (1990)
buddy,My Fellow Americans (1996)
buddy,Beavis and Butt-Head Do America (1996)
buddy,Amos & Andrew (1993)
buddy,Gridlock'd (1997)
buddy,Double Team (1997)
buddy,Men in Black (a.k.a. MIB) (1997)
buddy,Out to Sea (1997)
buddy,Money Talks (1997)
buddy,My Own Private Idaho (1991)
buddy,Stripes (1981)
buddy,Boogie Nights (1997)
buddy,Blues Brothers 2000 (1998)
buddy,Paulie (1998)
buddy,Meet the Deedles (1998)
buddy,Homegrown (1998)
buddy,"Odd Couple II, The (1998)"
buddy,Sour Grapes (1998)
buddy,Fear and Loathing in Las Vegas (1998)
buddy,Smoke Signals (1998)
buddy,Lethal Weapon 4 (1998)
buddy,Midnight Cowboy (1969)
buddy,Rain Man (1988)
buddy,Driving Miss Daisy (1989)
buddy,Lethal Weapon (1987)
buddy,Lethal Weapon 2 (1989)
buddy,Lethal Weapon 3 (1992)
buddy,BASEketball (1998)
buddy,"Jungle Book, The (1967)"
buddy,"Rescuers, The (1977)"
buddy,All Dogs Go to Heaven (1989)
buddy,Safe Men (1998)
buddy,Weird Science (1985)
buddy,Charlotte's Web (1973)
buddy,Dead Man on Campus (1998)
buddy,Dirty Work (1998)
buddy,Rounders (1998)
buddy,Simon Birch (1998)
buddy,We're No Angels (1989)
buddy,Six-String Samurai (1998)
buddy,"Night at the Roxbury, A (1998)"
buddy,"Mighty, The (1998)"
buddy,Heart Condition (1990)
buddy,"Rugrats Movie, The (1998)"
buddy,Gung Ho (1986)
buddy,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
buddy,Running Scared (1986)
buddy,"Corruptor, The (1999)"
buddy,Life (1999)
buddy,Lake Placid (1999)
buddy,Ghostbusters (a.k.a. Ghost Busters) (1984)
buddy,Jules and Jim (Jules et Jim) (1961)
buddy,Dick (1999)
buddy,Who Framed Roger Rabbit? (1988)
buddy,Robin Hood (1973)
buddy,March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934)
buddy,Midnight Run (1988)
buddy,Toy Story 2 (1999)
buddy,Play it to the Bone (1999)
buddy,"Last Detail, The (1973)"
buddy,Encino Man (1992)
buddy,Wayne's World (1992)
buddy,Wayne's World 2 (1993)
buddy,White Men Can't Jump (1992)
buddy,Stop! Or My Mom Will Shoot (1992)
buddy,"Boondock Saints, The (2000)"
buddy,"Tigger Movie, The (2000)"
buddy,Harry and the Hendersons (1987)
buddy,Grumpy Old Men (1993)
buddy,"Road to El Dorado, The (2000)"
buddy,"Odd Couple, The (1968)"
buddy,Ready to Rumble (2000)
buddy,Screwed (2000)
buddy,Shanghai Noon (2000)
buddy,Alien Nation (1988)
buddy,"Adventures of Rocky and Bullwinkle, The (2000)"
buddy,Thunderbolt and Lightfoot (1974)
buddy,House Party (1990)
buddy,House Party 2 (1991)
buddy,Space Cowboys (2000)
buddy,Air America (1990)
buddy,"Private Eyes, The (1981)"
buddy,"Planes, Trains & Automobiles (1987)"
buddy,"Dude, Where's My Car? (2000)"
buddy,"Emperor's New Groove, The (2000)"
buddy,"O Brother, Where Art Thou? (2000)"
buddy,Beverly Hills Cop (1984)
buddy,Ishtar (1987)
buddy,Saving Silverman (Evil Woman) (2001)
buddy,"End, The (1978)"
buddy,Harley Davidson and the Marlboro Man (1991)
buddy,Shrek (2001)
buddy,City Slickers (1991)
buddy,Rio Bravo (1959)
buddy,Semi-Tough (1978)
buddy,Cats & Dogs (2001)
buddy,Cocktail (1988)
buddy,Colors (1988)
buddy,Dirty Rotten Scoundrels (1988)
buddy,"Land Before Time, The (1988)"
buddy,License to Drive (1988)
buddy,Sunset (1988)
buddy,Twins (1988)
buddy,Bill & Ted's Excellent Adventure (1989)
buddy,Renegades (1989)
buddy,"See No Evil, Hear No Evil (1989)"
buddy,Tango & Cash (1989)
buddy,Weekend at Bernie's II (1993)
buddy,Any Which Way You Can (1980)
buddy,Osmosis Jones (2001)
buddy,Jay and Silent Bob Strike Back (2001)
buddy,Bandits (2001)
buddy,"Monsters, Inc. (2001)"
buddy,Bill & Ted's Bogus Journey (1991)
buddy,"Defiant Ones, The (1958)"
buddy,Another 48 Hrs. (1990)
buddy,48 Hrs. (1982)
buddy,Blankman (1994)
buddy,"Going Places (Valseuses, Les) (1974)"
buddy,Super Fuzz (a.k.a. Super Snooper) (Poliziotto superpiù) (1980)
buddy,Road to Morocco (1942)
buddy,Road to Singapore (1940)
buddy,Road to Utopia (1946)
buddy,Road to Zanzibar (1941)
buddy,Stir Crazy (1980)
buddy,Three Men and a Baby (1987)
buddy,Three Men and a Little Lady (1990)
buddy,Men at Work (1990)
buddy,Lilo & Stitch (2002)
buddy,"Country Bears, The (2002)"
buddy,Harry and Walter Go to New York (1976)
buddy,Camilla (1994)
buddy,Stakeout (1987)
buddy,Aspen Extreme (1993)
buddy,Formula 51 (2001)
buddy,Buddy Buddy (1981)
buddy,"Goat, The (a.k.a. Knock On Wood) (Chèvre, La) (1981)"
buddy,Another You (1991)
buddy,"Road to Hong Kong, The (1962)"
buddy,Wisegirls (2002)
buddy,Kangaroo Jack (2003)
buddy,National Security (2003)
buddy,Partners (1982)
buddy,Shanghai Knights (2003)
buddy,Boat Trip (2003)
buddy,Dreamcatcher (2003)
buddy,Bulletproof Monk (2003)
buddy,Once a Thief (Zong heng si hai) (1991)
buddy,Good Burger (1997)
buddy,Dumb and Dumberer: When Harry Met Lloyd (2003)
buddy,Hollywood Homicide (2003)
buddy,Loose Cannons (1990)
buddy,"Medallion, The (2003)"
buddy,"Rundown, The (2003)"
buddy,"Rookie, The (1990)"
buddy,City Heat (1984)
buddy,Brother Bear (2003)
buddy,Gypsy 83 (2001)
buddy,"Hard Way, The (1991)"
buddy,"Last Boy Scout, The (1991)"
buddy,Nothing to Lose (1997)
buddy,Stuck on You (2003)
buddy,Real Men (1987)
buddy,Who's the Man? (1993)
buddy,"Piece of the Action, A (1977)"
buddy,Let's Do It Again (1975)
buddy,Uptown Saturday Night (1974)
buddy,Starsky & Hutch (2004)
buddy,Fire Down Below (1957)
buddy,Road to Bali (1952)
buddy,"Flying Deuces, The (1939)"
buddy,Going in Style (1979)
buddy,"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971)"
buddy,Stray Dog (Nora inu) (1949)
buddy,Brain Donors (1992)
buddy,Crossroads (1986)
buddy,Garfield: The Movie (2004)
buddy,ComDads (les Compères) (1983)
buddy,White Chicks (2004)
buddy,Taxi (1998)
buddy,Taxi 3 (2003)
buddy,Harold and Kumar Go to White Castle (2004)
buddy,Shaun of the Dead (2004)
buddy,Sideways (2004)
buddy,"SpongeBob SquarePants Movie, The (2004)"
buddy,Bonnie Scotland (Heroes of the Regiment) (1935)
buddy,Boom Town (1940)
buddy,Road to Rio (1947)
buddy,Silver Streak (1976)
buddy,Spies Like Us (1985)
buddy,"Better Tomorrow, A (Ying hung boon sik) (1986)"
buddy,Downtown (1990)
buddy,Rubin and Ed (1991)
buddy,"Heart in Winter, A (Un coeur en hiver) (1992)"
buddy,Taxi 2 (2000)
buddy,"Extremely Goofy Movie, An (2000)"
buddy,D.C.H. (Dil Chahta Hai) (2001)
buddy,"Lion King 1½, The (2004)"
buddy,Million Dollar Baby (2004)
buddy,Sons of the Desert (1933)
buddy,Butch and Sundance: The Early Days (1979)
buddy,Knockin' on Heaven's Door (1997)
buddy,Sahara (2005)
buddy,"Frisco Kid, The (1979)"
buddy,Madagascar (2005)
buddy,Cop and ½ (1993)
buddy,Wedding Crashers (2005)
buddy,Sholay (1975)
buddy,"40-Year-Old Virgin, The (2005)"
buddy,"Companeros (Vamos a matar, compañeros) (1970)"
buddy,"Man, The (2005)"
buddy,"Race for Your Life, Charlie Brown (1977)"
buddy,"Kid & I, The (2005)"
buddy,"Matador, The (2005)"
buddy,Transamerica (2005)
buddy,Kevin & Perry Go Large (2000)
